17-05-21 05:09:34 *李明    *从localhost *--访问了用户注册界面
17-05-21 05:10:12 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:10:47 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:15:42 *远洪    *从localhost *--访问了登录界面
17-05-21 05:26:55 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:30:24 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:30:25 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:30:25 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:30:26 *远洪    *从::1 *访问了我的页面
17-05-21 05:30:26 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:30:34 *远洪    *从::1 *喜欢了^_^设备管理系统~~~~~~~~
17-05-21 05:30:35 *远洪    *从::1 *喜欢了^_^设备管理系统~~~~~~~~
17-05-21 05:30:36 *远洪    *从::1 *喜欢了^_^设备管理系统~~~~~~~~
17-05-21 05:30:38 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:30:49 *远洪    *从::1 *喜欢了^_^设备管理系统~~~~~~~~
17-05-21 05:30:49 *远洪    *从::1 *喜欢了^_^设备管理系统~~~~~~~~
17-05-21 05:30:51 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:31:07 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:31:09 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:31:09 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:31:09 *远洪    *从::1 *访问了我的页面
17-05-21 05:31:10 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:31:10 *远洪    *从::1 *访问了查看管理员页面
17-05-21 05:31:10 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:31:11 *远洪    *从localhost *--访问了登录界面
17-05-21 05:31:16 *远洪    *从::1 *登录了设备管理系统
17-05-21 05:31:17 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:31:18 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:31:19 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:32:50 *远洪    *从localhost *添加了设备：PC-win7--编号：4-3006
17-05-21 05:32:51 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:32:57 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:32:59 *远洪    *从::1 *访问了 PC-win7 的修改设备信息页面
17-05-21 05:33:12 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:33:13 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:33:14 *远洪    *从::1 *访问了 PC-win7 的设备详情页面
17-05-21 05:34:55 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:34:57 *远洪    *从::1 *访问了 PC-win7 的设备详情页面
17-05-21 05:35:45 *远洪    *从::1 *访问了 PC-win7 的设备详情页面
17-05-21 05:36:02 *远洪    *从::1 *访问了 oppo R7s 的设备详情页面
17-05-21 05:36:11 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:36:23 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:36:38 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:36:40 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:36:42 *远洪    *从::1 *访问了设备盘点页面(未盘点)
17-05-21 05:36:43 *远洪    *从::1 *访问了日志管理页面
17-05-21 05:36:44 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:37:40 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:37:40 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:37:41 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:37:42 *远洪    *从::1 *访问了设备查询页面
17-05-21 05:37:43 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:39:34 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:39:35 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:39:35 *远洪    *从::1 *访问了添加设备页面
17-05-21 05:39:36 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:39:36 *远洪    *从::1 *访问了设备盘点页面(未盘点)
17-05-21 05:39:41 *远洪    *从::1 *访问了管理设备页面
17-05-21 05:39:43 *远洪    *从::1 *访问了设备盘点页面(未盘点)
17-05-21 05:39:48 *远洪    *从::1 *访问了日志管理页面
17-05-21 05:39:53 *远洪    *从::1 *访问了用户管理页面
17-05-21 05:39:53 *远洪    *从::1 *访问了我的页面
17-05-21 05:39:53 *远洪    *从::1 *访问了附加功能页面
17-05-21 05:39:54 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:20 *远洪    *从::1 *访问了附加功能页面
17-05-21 05:51:21 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:23 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:24 *远洪    *从::1 *访问了附加功能页面
17-05-21 05:51:24 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:26 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:32 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:33 *远洪    *从::1 *访问了附加功能页面
17-05-21 05:51:33 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:53 *远洪    *从::1 *访问了附加功能页面
17-05-21 05:51:53 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:51:55 *远洪    *从::1 *访问了关于系统页面
17-05-21 05:52:46 *远洪    *从::1 *访问了附加功能页面
